Learning Rate,Epoch,Loss,Validation Loss
1e-05,1,357107.1875,315311.0
1e-05,2,273658.9375,177568.828125
1e-05,3,185293.84375,170351.0625
1e-05,4,178782.25,166046.515625
1e-05,5,173739.65625,161348.5
1e-05,6,169449.40625,156838.921875
1e-05,7,165500.875,152552.03125
1e-05,8,161717.0,148806.546875
1e-05,9,158252.484375,146009.046875
1e-05,10,155019.0625,143314.734375
1e-05,11,151763.296875,141578.15625
1e-05,12,148705.5,137592.25
1e-05,13,145741.90625,135327.203125
1e-05,14,142880.484375,132427.28125
1e-05,15,140279.203125,131504.9375
1e-05,16,137969.515625,129118.8203125
1e-05,17,135737.0625,127041.0703125
1e-05,18,133592.9375,125125.8125
1e-05,19,131697.734375,124124.0390625
1e-05,20,129817.625,122912.328125
1e-05,21,127983.984375,120551.734375
1e-05,22,126312.96875,119383.1328125
1e-05,23,124702.5,118065.234375
1e-05,24,122890.9140625,117383.7421875
1e-05,25,121329.8515625,115139.8203125
1e-05,26,119782.03125,114130.2421875
1e-05,27,118209.3359375,112647.7890625
1e-05,28,116758.8671875,111812.1171875
1e-05,29,115432.015625,110722.40625
1e-05,30,114064.0625,109013.75
1e-05,31,112845.3046875,108617.3359375
1e-05,32,111676.9453125,108298.96875
1e-05,33,110543.9921875,106655.8359375
1e-05,34,109347.1171875,106467.3046875
1e-05,35,108343.703125,104033.6015625
1e-05,36,107406.6640625,103933.9140625
1e-05,37,106359.8125,104862.4140625
1e-05,38,105522.15625,102042.7890625
1e-05,39,104494.3359375,100885.046875
1e-05,40,103531.3046875,100188.8984375
1e-05,41,102685.6796875,99730.421875
1e-05,42,101842.6171875,99649.796875
1e-05,43,100925.8203125,97833.2421875
1e-05,44,100130.671875,96843.875
1e-05,45,99427.078125,96569.421875
1e-05,46,98436.7734375,95349.2421875
1e-05,47,97856.921875,94997.9140625
1e-05,48,96967.359375,94494.46875
1e-05,49,96102.078125,93367.859375
1e-05,50,95411.25,92519.1640625
1e-05,51,94599.3515625,92297.515625
1e-05,52,93778.609375,91648.2578125
1e-05,53,93063.5859375,91052.5859375
1e-05,54,92279.1171875,90122.5625
1e-05,55,91492.1796875,88479.984375
1e-05,56,90783.8359375,87456.1796875
1e-05,57,90078.5546875,86804.09375
1e-05,58,89155.2265625,86002.34375
1e-05,59,88471.7890625,86034.546875
1e-05,60,87803.765625,85654.7890625
1e-05,61,87062.5390625,84696.65625
1e-05,62,86429.671875,83165.53125
1e-05,63,85695.8984375,82644.640625
1e-05,64,85036.7421875,81589.6015625
1e-05,65,84423.2578125,81046.6484375
1e-05,66,83867.28125,80460.9921875
1e-05,67,83205.15625,79672.609375
1e-05,68,82507.875,79726.6328125
1e-05,69,81828.34375,78544.15625
1e-05,70,81152.359375,77796.78125
1e-05,71,80759.265625,77408.7109375
1e-05,72,80206.84375,77299.15625
1e-05,73,79562.8203125,76229.96875
1e-05,74,79221.4453125,75782.84375
1e-05,75,78619.015625,75832.8515625
1e-05,76,78204.484375,74925.3203125
1e-05,77,77788.6796875,74382.5390625
1e-05,78,77388.5078125,74544.53125
1e-05,79,76803.8046875,73806.1328125
1e-05,80,76491.40625,75075.015625
1e-05,81,76126.65625,72764.765625
1e-05,82,75639.8125,73207.8203125
1e-05,83,75260.4765625,73660.640625
1e-05,84,74929.1171875,71867.1015625
1e-05,85,74649.8984375,71843.6328125
1e-05,86,74312.984375,70881.578125
1e-05,87,73906.859375,71032.046875
1e-05,88,73709.046875,70676.234375
1e-05,89,73341.8515625,70645.2890625
1e-05,90,73065.5390625,69609.3046875
1e-05,91,72840.1484375,69660.1953125
1e-05,92,72479.578125,69194.4375
1e-05,93,72133.125,69507.6953125
1e-05,94,71989.7109375,68537.8671875
1e-05,95,71609.109375,68407.578125
1e-05,96,71481.734375,68114.5234375
1e-05,97,71153.4296875,67887.2109375
1e-05,98,70983.96875,67863.140625
1e-05,99,70684.6796875,68472.5546875
1e-05,100,70703.34375,68819.296875
5e-05,1,258372.0,162787.34375
5e-05,2,165229.84375,146003.15625
5e-05,3,150229.28125,138049.609375
5e-05,4,137721.359375,128631.3515625
5e-05,5,128123.0703125,117547.03125
5e-05,6,118449.21875,112142.2734375
5e-05,7,111048.7421875,105062.78125
5e-05,8,105752.4609375,101262.3984375
5e-05,9,101626.625,96568.8359375
5e-05,10,97494.328125,99540.875
5e-05,11,92995.96875,87476.3828125
5e-05,12,88886.828125,83507.7109375
5e-05,13,85411.109375,80463.8984375
5e-05,14,81586.9609375,77852.203125
