Batch Size: 5, R²: 0.9563218152189614, Loss: 2493.247314453125
Batch Size: 6, R²: 0.9600546849960466, Loss: 2855.879150390625
Batch Size: 7, R²: 0.9548139433585486, Loss: 2370.289306640625
Batch Size: 8, R²: 0.9435862524543276, Loss: 3152.3076171875
Batch Size: 9, R²: 0.9574979498964005, Loss: 2464.0791015625
Batch Size: 10, R²: 0.949629768343597, Loss: 5113.9873046875
Batch Size: 15, R²: 0.9621282922913948, Loss: 2844.39013671875
Batch Size: 20, R²: 0.9614514334812453, Loss: 2876.913818359375
Batch Size: 25, R²: 0.9655858058736032, Loss: 1818.713134765625
Batch Size: 30, R²: 0.9437853198730615, Loss: 3112.13330078125
Batch Size: 35, R²: 0.9522910261234084, Loss: 2183.2978515625
Batch Size: 40, R²: 0.949623396210087, Loss: 2805.327880859375
Batch Size: 45, R²: 0.9574536907106617, Loss: 3754.6533203125
Batch Size: 50, R²: 0.9543115117306021, Loss: 2853.486083984375
